circuito,subcircuito,distrito,zona,canton,codigo_canton,provincia,codigo_provincia
SHUMIRAL,SHUMIRAL 1,PONCE ENRÍQUEZ,ZONA 6,CAMILO PONCE ENRÍQUEZ,115,AZUAY,1
JIMA,JIMA 1,SÍGSIG,ZONA 6,SÍGSIG,109,AZUAY,1
NUEVO PASAISO,NUEVO PASAISO 1,PAQUISHA,ZONA 7,NANGARITZA,1903,ZAMORA CHINCHIPE,19
GUALE,GUALE 1,PAJÁN,ZONA 4,PAJÁN,1310,MANABÍ,13
PALESTINA,PALESTINA 3,RÍO VERDE,ZONA 1,RIOVERDE,807,ESMERALDAS,8
PILLONPATA,PILLONPATA 1,PANGUA,ZONA 3,PANGUA,503,COTOPAXI,5
JIMBURA,JIMBURA 1,ESPÍNDOLA,ZONA 7,ESPÍNDOLA,1106,LOJA,11
FÁTIMA,FÁTIMA 1,PASTAZA,ZONA 3,PASTAZA,1601,PASTAZA,16
ATAHUALPA,ATAHUALPA 1,SANTA ELENA,ZONA 5,SANTA ELENA,2401,SANTA ELENA,24
RIO NAPO,RIO NAPO 1,AGUARICO,ZONA 2,AGUARICO,2202,ORELLANA,22
SAN RAFAEL,SAN RAFAEL 2,RUMIÑAHUI - MEJÍA,ZONA 2,RUMIÑAHUI,1705,PICHINCHA,17
ATAHUALPA,ATAHUALPA 2,SANTA ELENA,ZONA 5,SANTA ELENA,2401,SANTA ELENA,24
PERUCHO,PERUCHO 2,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
MACHACHI NORTE,MACHACHI NORTE 2,RUMIÑAHUI - MEJÍA,ZONA 2,MEJÍA,1703,PICHINCHA,17
GUACHARACA,GUACHARACA 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
SANGUILLIN,SANGUILLIN 1,CALVAS,ZONA 7,CALVAS,1102,LOJA,11
HONORATO VÁSQUEZ,HONORATO VÁSQUEZ 1,24 DE MAYO,ZONA 4,SANTA ANA,1313,MANABÍ,13
YAMANA,YAMANA 1,CATACOCHA,ZONA 7,PALTAS,1109,LOJA,11
SANTA MARTHA SUR,SANTA MARTHA SUR 3,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
SAN ROQUE,SAN ROQUE 2,PIÑAS,ZONA 7,PIÑAS,710,EL ORO,7
PROGRESO,PROGRESO 1,GALÁPAGOS,ZONA 5,SAN CRISTÓBAL,2001,GALÁPAGOS,20
DAULE CENTRO,DAULE CENTRO 1,DAULE,ZONA 5,DAULE,906,GUAYAS,9
FERNANDINA,FERNANDINA 1,GALÁPAGOS,ZONA 5,ISABELA,2002,GALÁPAGOS,20
FLOR DE BASTIÓN,FLOR DE BASTIÓN 5,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
TABIAZO,TABIAZO 2,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
CARACOL,CARACOL 1,BABAHOYO,ZONA 5,BABAHOYO,1201,LOS RÍOS,12
NARANJITO ESTE,NARANJITO ESTE 1,NARANJITO MARCELINO MARIDUEÑA,ZONA 5,NARANJITO,912,GUAYAS,9
VEGA RIVERA,VEGA RIVERA 1,SANTA ROSA,ZONA 7,SANTA ROSA,712,EL ORO,7
GUANO,GUANO 2,GUANO,ZONA 3,GUANO,607,CHIMBORAZO,6
SAN PEDRO DE LA BENDITA,SAN PEDRO DE LA BENDITA 1,CATAMAYO,ZONA 7,CATAMAYO,1103,LOJA,11
CARMEN DE PIJILI,CARMEN DE PIJILI 1,PONCE ENRÍQUEZ,ZONA 6,CAMILO PONCE ENRÍQUEZ,115,AZUAY,1
PILAHUIN,PILAHUIN 1,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
EL ROSARIO,EL ROSARIO 1,SUR - MORONA,ZONA 6,GUALAQUIZA,1402,MORONA SANTIAGO,14
BOCANA DE BUA,BOCANA DE BUA 1,QUININDÉ,ZONA 1,QUININDÉ,804,ESMERALDAS,8
MONTALVO,MONTALVO 1,PASTAZA,ZONA 3,PASTAZA,1601,PASTAZA,16
SELVA ALEGRE,SELVA ALEGRE 1,SARAGURO,ZONA 7,SARAGURO,1111,LOJA,11
LA VICTORIA,LA VICTORIA 1,DANSANTE,ZONA 3,PUJILÍ,504,COTOPAXI,5
PACAYACU,PACAYACU 1,LAGO AGRIO,ZONA 1,LAGO AGRIO,2101,SUCUMBÍOS,21
RECREO,RECREO 7,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
LAS MERCEDES,LAS MERCEDES 1,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
EL PARAÍSO,EL PARAÍSO 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
POMPEYA,POMPEYA 1,LA JOYA DE LOS SACHAS,ZONA 2,LA JOYA DE LOS SACHAS,2203,ORELLANA,22
PUEBLO NUEVO,PUEBLO NUEVO 2,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
SAN FRANCISCO DE BORJA,SAN FRANCISCO DE BORJA 1,EL VALLE DE QUIJOS,ZONA 2,QUIJOS,1507,NAPO,15
MOROMORO,MOROMORO 1,PIÑAS,ZONA 7,PIÑAS,710,EL ORO,7
RIO DE CAÑA,RIO DE CAÑA 1,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
SARACAY,SARACAY 1,PIÑAS,ZONA 7,PIÑAS,710,EL ORO,7
SAN ANDRÉS,SAN ANDRÉS 1,CHINCHIPE,ZONA 7,CHINCHIPE,1902,ZAMORA CHINCHIPE,19
GUALEA,GUALEA 1,NANEGAL,ZONA 9,QUITO,1701,PICHINCHA,17
YANGANA,YANGANA 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
EL INGENIO,EL INGENIO 1,ESPÍNDOLA,ZONA 7,ESPÍNDOLA,1106,LOJA,11
SAN LORENZO,SAN LORENZO 1,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
URDESA,URDESA 3,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MEMBRILLO,MEMBRILLO 1,BOLÍVAR JUNÍN,ZONA 4,BOLÍVAR,1302,MANABÍ,13
FACUNDO VELA,FACUNDO VELA 1,GUARANDA,ZONA 5,GUARANDA,201,BOLÍVAR,2
ZHIMAD,ZHIMAD 1,GUALACEO,ZONA 6,GUALACEO,103,AZUAY,1
PALESTINA RURAL,PALESTINA RURAL 1,BALZAR,ZONA 5,PALESTINA,913,GUAYAS,9
URDANETA,URDANETA 1,SARAGURO,ZONA 7,SARAGURO,1111,LOJA,11
COTALO,COTALO 3,PATATE,ZONA 3,SAN PEDRO DE PELILEO,1807,TUNGURAHUA,18
SAN PEDRO DE HUACA,SAN PEDRO DE HUACA 2,TULCÁN,ZONA 1,SAN PEDRO DE HUACA,406,CARCHI,4
TÍO CAJAS,TÍO CAJAS 1,COLTA,ZONA 3,GUAMOTE,606,CHIMBORAZO,6
ANGAMARCA,ANGAMARCA 1,DANSANTE,ZONA 3,PUJILÍ,504,COTOPAXI,5
COTALO,COTALO 1,PATATE,ZONA 3,SAN PEDRO DE PELILEO,1807,TUNGURAHUA,18
SAN SEBASTIÁN,SAN SEBASTIÁN 1,PICHINCHA,ZONA 4,PICHINCHA,1311,MANABÍ,13
INTAG,INTAG 1,TIERRA DEL SOL,ZONA 1,COTACACHI,1003,IMBABURA,10
BANANERA SUR,BANANERA SUR 1,PASAJE,ZONA 7,PASAJE,709,EL ORO,7
CANUTO,CANUTO 1,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
CUMANDÁ,CUMANDÁ 2,PALLATANGA,ZONA 3,CUMANDÁ,610,CHIMBORAZO,6
CHICAL,CHICAL 2,TULCÁN,ZONA 1,TULCÁN,401,CARCHI,4
