sexo,rango_edad,etnia,nacionalidad
HOMBRE,NIÑOS(AS),SIN_DATO,VENEZUELA
MUJER,ADOLESCENTES,MESTIZO/A,OTROS
HOMBRE,NIÑOS(AS),OTROS,VENEZUELA
MUJER,NIÑOS(AS),OTROS,VENEZUELA
MUJER,NIÑOS(AS),SIN_DATO,ECUADOR
MUJER,ADULTO,MESTIZO/A,PERU
HOMBRE,ADULTO,ASIATICO/A,SIN_DATO
HOMBRE,NIÑOS(AS),SIN_DATO,ECUADOR
MUJER,ADULTO,BLANCO/A,ESPAÑA
MUJER,ADOLESCENTES,BLANCO/A,ESPAÑA
MUJER,ADOLESCENTES,AFRO,OTROS
HOMBRE,NIÑOS(AS),AFRO,OTROS
HOMBRE,ADULTO,MESTIZO/A,KAZAJSTAN
HOMBRE,ADOLESCENTES,SIN_DATO,OTROS
MUJER,ADULTO,MESTIZO/A,BOLIVIA
HOMBRE,NIÑOS(AS),MESTIZO/A,BOLIVIA
HOMBRE,ADULTO,BLANCO/A,SIN_DATO
HOMBRE,ADULTO,MESTIZO/A,PERU
MUJER,ADULTO MAYOR,BLANCO/A,ECUADOR
MUJER,ADULTO,MULATO/A,CUBA
MUJER,NIÑOS(AS),SIN_DATO,VENEZUELA
HOMBRE,ADULTO,SIN_DATO,ARGENTINA
MUJER,ADULTO,SIN_DATO,VENEZUELA
HOMBRE,ADOLESCENTES,MESTIZO/A,PERU
HOMBRE,ADULTO,SIN_DATO,CUBA
HOMBRE,ADULTO,AFRO,VENEZUELA
HOMBRE,ADULTO MAYOR,MESTIZO/A,COLOMBIA
MUJER,ADOLESCENTES,SIN_DATO,COLOMBIA
MUJER,ADOLESCENTES,MESTIZO/A,PERU
HOMBRE,ADULTO MAYOR,MESTIZO/A,VENEZUELA
HOMBRE,ADULTO,SIN_DATO,COLOMBIA
MUJER,ADULTO,OTROS,SIN_DATO
HOMBRE,ADULTO,MESTIZO/A,ESTADOS UNIDOS
HOMBRE,ADULTO,BLANCO/A,ESPAÑA
HOMBRE,ADULTO,SIN_DATO,AFGANISTAN
MUJER,NIÑOS(AS),MULATO/A,ECUADOR
HOMBRE,ADULTO,MESTIZO/A,ARGENTINA
MUJER,NIÑOS(AS),MESTIZO/A,ARGENTINA
MUJER,ADULTO,MESTIZO/A,ALEMANIA
HOMBRE,ADULTO MAYOR,MESTIZO/A,EL SALVADOR
MUJER,ADULTO,BLANCO/A,OTROS
MUJER,ADOLESCENTES,OTROS,SIN_DATO
MUJER,ADOLESCENTES,BLANCO/A,SIN_DATO
HOMBRE,NIÑOS(AS),MESTIZO/A,OTROS
HOMBRE,NIÑOS(AS),MONTUBIO/A,ECUADOR
HOMBRE,ADULTO,MULATO/A,VENEZUELA
HOMBRE,ADULTO,OTROS,SIN_DATO
HOMBRE,ADOLESCENTES,AFRO,OTROS
MUJER,ADULTO MAYOR,OTROS,ECUADOR
MUJER,ADOLESCENTES,INDIGENA,VENEZUELA
MUJER,NIÑOS(AS),OTROS,OTROS
HOMBRE,ADOLESCENTES,OTROS,REPUBLICA CENTROAFRI
HOMBRE,ADULTO,OTROS,OTROS
HOMBRE,NIÑOS(AS),SIN_DATO,ARGENTINA
MUJER,NIÑOS(AS),SIN_DATO,ARGENTINA
MUJER,ADOLESCENTES,SIN_DATO,HAITI
MUJER,NIÑOS(AS),MESTIZO/A,CHILE
MUJER,ADOLESCENTES,ASIATICO/A,VENEZUELA
MUJER,ADULTO MAYOR,BLANCO/A,COLOMBIA
MUJER,ADULTO,MESTIZO/A,ESPAÑA
HOMBRE,ADOLESCENTES,MESTIZO/A,ESPAÑA
MUJER,ADULTO,BLANCO/A,COLOMBIA
HOMBRE,NIÑOS(AS),BLANCO/A,COLOMBIA
HOMBRE,ADULTO,MESTIZO/A,COSTA RICA
MUJER,ADOLESCENTES,MULATO/A,COLOMBIA
HOMBRE,ADULTO,MESTIZO/A,ESPAÑA
HOMBRE,ADOLESCENTES,BLANCO/A,VENEZUELA
MUJER,NIÑOS(AS),MESTIZO/A,COLOMBIA
HOMBRE,ADOLESCENTES,ASIATICO/A,CHINA POPULAR
HOMBRE,ADULTO,OTROS,ESPAÑA
MUJER,ADULTO MAYOR,MESTIZO/A,VENEZUELA
HOMBRE,ADULTO,MESTIZO/A,HONDURAS
HOMBRE,ADULTO MAYOR,MULATO/A,ECUADOR
MUJER,ADULTO,OTROS,OTROS
MUJER,ADULTO,BLANCO/A,MEXICO
MUJER,NIÑOS(AS),ASIATICO/A,ECUADOR
HOMBRE,NIÑOS(AS),ASIATICO/A,ECUADOR
MUJER,ADULTO,BLANCO/A,ESTADOS UNIDOS
HOMBRE,NIÑOS(AS),SIN_DATO,COLOMBIA
MUJER,ADULTO MAYOR,BLANCO/A,ESTADOS UNIDOS
MUJER,ADULTO,MESTIZO/A,CHILE
HOMBRE,ADULTO MAYOR,MESTIZO/A,OTROS
MUJER,ADULTO MAYOR,MULATO/A,ECUADOR
MUJER,ADOLESCENTES,AFRO,VENEZUELA
HOMBRE,ADULTO MAYOR,SIN_DATO,EL SALVADOR
HOMBRE,ADOLESCENTES,SIN_DATO,COLOMBIA
HOMBRE,ADULTO,BLANCO/A,VENEZUELA
MUJER,ADOLESCENTES,MESTIZO/A,ESTADOS UNIDOS
HOMBRE,NIÑOS(AS),AFRO,COLOMBIA
MUJER,NIÑOS(AS),MESTIZO/A,MEXICO
MUJER,ADULTO,MESTIZO/A,MEXICO
MUJER,ADOLESCENTES,BLANCO/A,ESTADOS UNIDOS
MUJER,ADOLESCENTES,AFRO,COLOMBIA
MUJER,ADULTO,BLANCO/A,CHILE
HOMBRE,ADULTO,INDIGENA,SIN_DATO
HOMBRE,ADOLESCENTES,OTROS,COLOMBIA
HOMBRE,ADULTO,OTROS,ISRAEL
MUJER,ADULTO,MESTIZO/A,ESTADOS UNIDOS
MUJER,ADOLESCENTES,BLANCO/A,COLOMBIA
HOMBRE,ADULTO,AFRO,BRASIL
MUJER,ADULTO,BLANCO/A,ARGENTINA
MUJER,ADOLESCENTES,AFRO,HAITI
MUJER,ADULTO,AFRO,HAITI
MUJER,ADULTO,AFRO,VENEZUELA
HOMBRE,ADULTO,BLANCO/A,INDONESIA
MUJER,NIÑOS(AS),MESTIZO/A,SIN_DATO
HOMBRE,ADULTO,MESTIZO/A,BOLIVIA
MUJER,NIÑOS(AS),OTROS,COLOMBIA
HOMBRE,ADULTO MAYOR,BLANCO/A,SIN_DATO
MUJER,ADULTO,OTROS,COLOMBIA
HOMBRE,ADOLESCENTES,SIN_DATO,VENEZUELA
HOMBRE,ADULTO,MULATO/A,ESTADOS UNIDOS
HOMBRE,NIÑOS(AS),MULATO/A,VENEZUELA
MUJER,ADULTO MAYOR,ASIATICO/A,CHINA POPULAR
HOMBRE,NIÑOS(AS),SIN_DATO,CHINA POPULAR
HOMBRE,NIÑOS(AS),ASIATICO/A,CHINA POPULAR
HOMBRE,ADULTO MAYOR,AFRO,SIN_DATO
HOMBRE,ADULTO,MESTIZO/A,RUSIA
HOMBRE,ADULTO,MULATO/A,SIN_DATO
MUJER,ADOLESCENTES,OTROS,REPUBLICA DOMINICANA
HOMBRE,ADULTO,MESTIZO/A,MEXICO
HOMBRE,ADULTO,BLANCO/A,RUSIA
MUJER,ADULTO MAYOR,MESTIZO/A,COLOMBIA
MUJER,ADULTO MAYOR,AFRO,SIN_DATO
HOMBRE,ADULTO,OTROS,MEXICO
